DATE,LAUMT063108000000004
1/1/1990,310846
2/1/1990,294988
3/1/1990,283140
4/1/1990,292030
5/1/1990,288621
6/1/1990,285737
7/1/1990,331885
8/1/1990,329009
9/1/1990,334449
10/1/1990,324832
11/1/1990,339341
12/1/1990,339272
1/1/1991,360283
2/1/1991,404362
3/1/1991,401330
4/1/1991,388359
5/1/1991,418730
6/1/1991,441195
7/1/1991,467477
8/1/1991,449722
9/1/1991,451974
10/1/1991,446222
11/1/1991,439816
12/1/1991,443417
1/1/1992,498357
2/1/1992,505567
3/1/1992,493044
4/1/1992,478369
5/1/1992,505363
6/1/1992,550181
7/1/1992,577330
8/1/1992,561219
9/1/1992,559459
10/1/1992,527831
11/1/1992,543222
12/1/1992,525065
1/1/1993,561469
2/1/1993,561000
3/1/1993,537606
4/1/1993,517740
5/1/1993,506525
6/1/1993,522434
7/1/1993,546320
8/1/1993,519249
9/1/1993,510095
10/1/1993,510218
11/1/1993,495502
12/1/1993,472864
1/1/1994,538935
2/1/1994,524549
3/1/1994,506185
4/1/1994,491675
5/1/1994,464992
6/1/1994,481589
7/1/1994,509841
8/1/1994,485748
9/1/1994,455538
10/1/1994,434719
11/1/1994,410190
12/1/1994,380289
1/1/1995,430460
2/1/1995,401175
3/1/1995,385344
4/1/1995,399608
5/1/1995,383316
6/1/1995,402927
7/1/1995,448238
8/1/1995,431366
9/1/1995,426550
10/1/1995,411954
11/1/1995,415444
12/1/1995,391088
1/1/1996,453176
2/1/1996,431996
3/1/1996,426748
4/1/1996,412054
5/1/1996,412386
6/1/1996,399353
7/1/1996,447773
8/1/1996,400776
9/1/1996,390070
10/1/1996,380064
11/1/1996,380947
12/1/1996,357112
1/1/1997,401548
2/1/1997,377656
3/1/1997,368822
4/1/1997,345652
5/1/1997,336059
6/1/1997,347425
7/1/1997,371915
8/1/1997,353489
9/1/1997,348333
10/1/1997,322886
11/1/1997,312393
12/1/1997,307340
1/1/1998,342681
2/1/1998,326427
3/1/1998,344265
4/1/1998,310114
5/1/1998,315746
6/1/1998,340637
7/1/1998,372189
8/1/1998,358577
9/1/1998,364636
10/1/1998,352925
11/1/1998,333392
12/1/1998,308538
1/1/1999,340625
2/1/1999,323361
3/1/1999,303307
4/1/1999,291893
5/1/1999,271791
6/1/1999,298894
7/1/1999,336075
8/1/1999,316928
9/1/1999,322730
10/1/1999,311588
11/1/1999,301888
12/1/1999,281613
1/1/2000,330021
2/1/2000,319020
3/1/2000,312454
4/1/2000,290651
5/1/2000,297498
6/1/2000,307329
7/1/2000,335570
8/1/2000,326286
9/1/2000,301108
10/1/2000,286597
11/1/2000,281004
12/1/2000,260065
1/1/2001,307085
2/1/2001,285234
3/1/2001,297605
4/1/2001,291540
5/1/2001,279784
6/1/2001,319411
7/1/2001,352770
8/1/2001,359662
9/1/2001,345823
10/1/2001,365945
11/1/2001,374327
12/1/2001,365776
1/1/2002,410719
2/1/2002,393401
3/1/2002,401211
4/1/2002,395451
5/1/2002,381692
6/1/2002,412038
7/1/2002,430258
8/1/2002,408091
9/1/2002,381536
10/1/2002,376955
11/1/2002,384407
12/1/2002,375239
1/1/2003,408774
2/1/2003,394952
3/1/2003,389468
4/1/2003,383000
5/1/2003,382755
6/1/2003,433398
7/1/2003,442752
8/1/2003,424278
9/1/2003,409713
10/1/2003,402748
11/1/2003,399322
12/1/2003,362856
1/1/2004,403119
2/1/2004,378369
3/1/2004,396070
4/1/2004,373567
5/1/2004,367995
6/1/2004,391479
7/1/2004,406351
8/1/2004,373412
9/1/2004,356130
10/1/2004,354737
11/1/2004,355289
12/1/2004,337662
1/1/2005,354433
2/1/2005,350654
3/1/2005,327119
4/1/2005,312123
5/1/2005,300702
6/1/2005,311778
7/1/2005,328661
8/1/2005,298279
9/1/2005,300051
10/1/2005,295965
11/1/2005,317067
12/1/2005,291699
1/1/2006,307784
2/1/2006,307723
3/1/2006,282493
4/1/2006,272079
5/1/2006,272377
6/1/2006,282792
7/1/2006,316136
8/1/2006,297003
9/1/2006,277714
10/1/2006,260021
11/1/2006,274405
12/1/2006,264974
1/1/2007,311691
2/1/2007,295886
3/1/2007,286785
4/1/2007,283774
5/1/2007,273694
6/1/2007,303453
7/1/2007,342303
8/1/2007,324534
9/1/2007,323726
10/1/2007,320194
11/1/2007,330242
12/1/2007,346006
1/1/2008,379026
2/1/2008,365952
3/1/2008,380480
4/1/2008,369372
5/1/2008,406377
6/1/2008,441281
7/1/2008,500615
8/1/2008,514978
9/1/2008,510680
10/1/2008,523076
11/1/2008,545861
12/1/2008,578489
1/1/2009,648802
2/1/2009,663881
3/1/2009,678562
4/1/2009,661203
5/1/2009,681488
6/1/2009,718453
7/1/2009,761183
8/1/2009,750544
9/1/2009,737432
10/1/2009,734439
11/1/2009,729259
12/1/2009,719855
1/1/2010,776472
2/1/2010,759196
3/1/2010,759165
4/1/2010,739205
5/1/2010,729965
6/1/2010,748601
7/1/2010,808040
8/1/2010,798881
9/1/2010,770274
10/1/2010,759856
11/1/2010,778670
12/1/2010,749869
1/1/2011,771751
2/1/2011,747762
3/1/2011,733084
4/1/2011,712887
5/1/2011,713336
6/1/2011,754525
7/1/2011,790834
8/1/2011,775706
9/1/2011,752612
10/1/2011,731189
11/1/2011,705929
12/1/2011,696605
1/1/2012,712088
2/1/2012,697964
3/1/2012,676631
4/1/2012,635190
5/1/2012,646190
6/1/2012,674656
7/1/2012,715305
8/1/2012,677570
9/1/2012,629677
10/1/2012,629845
11/1/2012,609950
12/1/2012,611774
1/1/2013,653851
2/1/2013,615308
3/1/2013,587724
4/1/2013,562218
5/1/2013,572228
6/1/2013,614554
7/1/2013,639174
8/1/2013,603602
9/1/2013,576177
10/1/2013,568384
11/1/2013,542052
12/1/2013,516370
1/1/2014,539933
2/1/2014,532634
3/1/2014,523281
4/1/2014,467469
5/1/2014,483775
6/1/2014,498421
7/1/2014,548492
8/1/2014,524800
9/1/2014,487798
10/1/2014,474928
11/1/2014,466729
12/1/2014,431987
1/1/2015,465510
2/1/2015,440211
3/1/2015,421567
4/1/2015,397679
5/1/2015,407970
6/1/2015,411426
7/1/2015,435269
8/1/2015,400835
9/1/2015,373619
10/1/2015,362803
11/1/2015,351582
12/1/2015,335944
1/1/2016,346469
2/1/2016,334773
3/1/2016,330126
4/1/2016,313062
5/1/2016,300706
6/1/2016,338025
7/1/2016,366870
8/1/2016,352758
9/1/2016,338455
10/1/2016,327863
11/1/2016,304730
12/1/2016,295925
1/1/2017,324106
2/1/2017,311865
3/1/2017,294909
4/1/2017,278393
5/1/2017,276073
6/1/2017,305129
7/1/2017,337670
8/1/2017,328774
9/1/2017,298471
10/1/2017,281657
11/1/2017,277868
12/1/2017,266844
1/1/2018,297757
2/1/2018,288575
3/1/2018,275600
4/1/2018,260385
5/1/2018,252781
6/1/2018,295504
7/1/2018,315919
8/1/2018,302744
9/1/2018,282004
10/1/2018,280795
11/1/2018,271857
12/1/2018,275936
1/1/2019,310156
2/1/2019,282125
3/1/2019,278628
4/1/2019,246420
5/1/2019,247034
6/1/2019,274997
7/1/2019,306734
8/1/2019,292389
9/1/2019,263665
10/1/2019,264634
11/1/2019,255515
12/1/2019,246208
1/1/2020,278797
2/1/2020,283762
3/1/2020,386520
4/1/2020,1181960
5/1/2020,1207655
6/1/2020,1175309
